Entry Time Temperature CO* OH* OH CO2
25 2.4000000000000007E-01 1.0087999999999999E+00 0 0 2500 0
26 2.5000000000000006E-01 1.0087500000000000E+00 0 0 2500 0
27 2.6000000000000006E-01 1.0086999999999999E+00 0 0 2500 0
28 2.7000000000000007E-01 1.0086500000000000E+00 0 0 2500 0
29 2.8000000000000008E-01 1.0085999999999999E+00 0 0 2500 0
30 2.9000000000000009E-01 1.0085500000000001E+00 0 0 2500 0
31 3.0000000000000010E-01 1.0085000000000000E+00 0 0 2500 0
32 3.1000000000000011E-01 1.0084500000000001E+00 0 0 2500 0
33 3.2000000000000012E-01 1.0084000000000000E+00 0 0 2500 0
34 3.3000000000000013E-01 1.0083500000000001E+00 0 0 2500 0
35 3.4000000000000014E-01 1.0083000000000000E+00 0 0 2500 0
36 3.5000000000000014E-01 1.0082500000000001E+00 0 0 2500 0
37 3.6000000000000015E-01 1.0082000000000000E+00 0 0 2500 0
38 3.7000000000000016E-01 1.0081500000000001E+00 0 0 2500 0
39 3.8000000000000017E-01 1.0081000000000000E+00 0 0 2500 0
40 3.9000000000000018E-01 1.0080500000000001E+00 0 0 2500 0
41 4.0000000000000019E-01 1.0080000000000000E+00 0 0 2500 0
42 4.1000000000000020E-01 1.0079499999999999E+00 0 0 2500 0
43 4.2000000000000021E-01 1.0079000000000000E+00 0 0 2500 0
44 4.3000000000000022E-01 1.0078499999999999E+00 0 0 2500 0
45 4.4000000000000022E-01 1.0078000000000000E+00 0 0 2500 0
46 4.5000000000000023E-01 1.0077499999999999E+00 0 0 2500 0
47 4.6000000000000024E-01 1.0077000000000000E+00 0 0 2500 0
48 4.7000000000000025E-01 1.0076499999999999E+00 0 0 2500 0
49 4.8000000000000026E-01 1.0076000000000001E+00 0 0 2500 0
50 4.9000000000000027E-01 1.0075499999999999E+00 0 0 2500 0
51 5.0000000000000022E-01 1.0075000000000001E+00 0 0 2500 0
52 5.1000000000000023E-01 1.0074500000000000E+00 0 0 2500 0
53 5.2000000000000024E-01 1.0074000000000001E+00 0 0 2500 0
54 5.3000000000000025E-01 1.0073500000000000E+00 0 0 2500 0
55 5.4000000000000026E-01 1.0073000000000001E+00 0 0 2500 0
56 5.5000000000000027E-01 1.0072500000000000E+00 0 0 2500 0
57 5.6000000000000028E-01 1.0072000000000001E+00 0 0 2500 0
58 5.7000000000000028E-01 1.0071500000000000E+00 0 0 2500 0
59 5.8000000000000029E-01 1.0071000000000001E+00 0 0 2500 0
60 5.9000000000000030E-01 1.0070500000000000E+00 0 0 2500 0
61 6.0000000000000031E-01 1.0070000000000001E+00 0 0 2500 0
62 6.1000000000000032E-01 1.0069500000000000E+00 0 0 2500 0
63 6.2000000000000033E-01 1.0068999999999999E+00 0 0 2500 0
64 6.3000000000000034E-01 1.0068500000000000E+00 0 0 2500 0
65 6.4000000000000035E-01 1.0067999999999999E+00 0 0 2500 0
66 6.5000000000000036E-01 1.0067500000000000E+00 0 0 2500 0
67 6.6000000000000036E-01 1.0066999999999999E+00 0 0 2500 0
68 6.7000000000000037E-01 1.0066500000000000E+00 0 0 2500 0
69 6.8000000000000038E-01 1.0065999999999999E+00 0 0 2500 0
70 6.9000000000000039E-01 1.0065500000000001E+00 0 0 2500 0
71 7.0000000000000040E-01 1.0065000000000000E+00 0 0 2500 0
72 7.1000000000000041E-01 1.0064500000000001E+00 0 0 2500 0
73 7.2000000000000042E-01 1.0064000000000000E+00 0 0 2500 0
74 7.3000000000000043E-01 1.0063500000000001E+00 0 0 2500 0
75 7.4000000000000044E-01 1.0063000000000000E+00 0 0 2500 0
76 7.5000000000000044E-01 1.0062500000000001E+00 0 0 2500 0
77 7.6000000000000045E-01 1.0062000000000000E+00 0 0 2500 0
78 7.7000000000000046E-01 1.0061500000000001E+00 0 0 2500 0
79 7.8000000000000047E-01 1.0061000000000000E+00 0 0 2500 0
80 7.9000000000000048E-01 1.0060500000000001E+00 0 0 2500 0
81 8.0000000000000049E-01 1.0060000000000000E+00 0 0 2500 0
82 8.1000000000000050E-01 1.0059499999999999E+00 0 0 2500 0
83 8.2000000000000051E-01 1.0059000000000000E+00 0 0 2500 0
84 8.3000000000000052E-01 1.0058499999999999E+00 0 0 2500 0
85 8.4000000000000052E-01 1.0058000000000000E+00 0 0 2500 0
86 8.5000000000000053E-01 1.0057499999999999E+00 0 0 2500 0
87 8.6000000000000054E-01 1.0057000000000000E+00 0 0 2500 0
88 8.7000000000000055E-01 1.0056499999999999E+00 0 0 2500 0
89 8.8000000000000056E-01 1.0056000000000000E+00 0 0 2500 0
90 8.9000000000000057E-01 1.0055499999999999E+00 0 0 2500 0
91 9.0000000000000058E-01 1.0055000000000001E+00 0 0 2500 0
92 9.1000000000000059E-01 1.0054500000000000E+00 0 0 2500 0
93 9.2000000000000060E-01 1.0054000000000001E+00 0 0 2500 0
94 9.3000000000000060E-01 1.0053500000000000E+00 0 0 2500 0
95 9.4000000000000061E-01 1.0053000000000001E+00 0 0 2500 0
96 9.5000000000000062E-01 1.0052500000000000E+00 0 0 2500 0
97 9.6000000000000063E-01 1.0052000000000001E+00 0 0 2500 0
98 9.7000000000000064E-01 1.0051500000000000E+00 0 0 2500 0
